Country Name,Year,GDP,Inflation,Unemployment,LifeExp,Education
Sweden,2021,5.2258643028773,2.16319736447143,8.803,83.0560975609756,85.9426193237305
Thailand,2021,1.55216608426647,1.23039541318384,1.215,77.606,43.4690405127808
Tunisia,2021,4.73603648206102,5.706350208307,16.632,72.893,33.2740287780762
Turkiye,2021,11.811094450607,19.5964926913324,11.969,75.722,125.763786315918
Tanzania,2021,4.32138429480482,3.69091958802199,1.876,66.131,3.59164319762461
Ukraine,2021,3.44562065945944,9.36313917695223,9.834,71.631,75.9079435107907
Uruguay,2021,5.84427312558179,7.74791402314762,9.328,75.434,75.1713873701582
United States,2021,6.05505293244555,4.69785886363742,5.349,76.3292682926829,84.8550872802734
Uzbekistan,2021,8.03468312640049,10.8492397508122,5.364,71.681,22.0939011675309
St. Vincent and the Grenadines,2021,2.09340124465459,1.57272932500558,20.356,69.132,35.7032258064516
Viet Nam,2021,2.55372852648131,1.83471554810444,2.383,74.145,41.9554971195048
Samoa,2021,-5.04350521486909,3.13320473174494,6.664,71.096,19.1409681560724
South Africa,2021,4.85864865060148,4.61874544887136,34.007,62.01,22.3431289991291
Albania,2022,4.8268006234359,6.72520271530059,10.785,78.769,62.647921513098
United Arab Emirates,2022,7.51448425801082,5.29122604376849,2.872,80.487,60.4188226013954
Argentina,2022,6.02074537534855,72.430757531824,6.805,75.806,107.103901423423
Armenia,2022,12.5999999997766,8.64091108973854,13.451,74.7658536585366,57.1818422625098
Australia,2022,4.25304559238732,6.59409658717841,3.728,83.2,106.240760803223
Austria,2022,5.33096379400371,8.54686993188457,4.992,81.2951219512195,94.5116882324219
Azerbaijan,2022,4.71468033247649,13.8522590144267,5.65,74.125,41.0017793895325
Belgium,2022,3.9562379757933,9.597511728725,5.57,81.7487804878049,83.5736465454102
Benin,2022,6.25294705373625,1.35077863583527,1.685,60.475,10.2350101470947
Burkina Faso,2022,1.62673258211919,14.2902354303358,3.828,60.7,9.67069485831779
Bangladesh,2022,7.09982877575158,7.69695437176898,4.593,74.265,23.5005059888653
Bulgaria,2022,4.0838640915123,15.3252589264367,4.148,74.1609756097561,84.1293563842773
Bahrain,2022,6.18016125475185,3.62574104304482,1.265,80.992,50.3073760962771
Bosnia and Herzegovina,2022,4.22681333390325,14.0208440826771,12.657,76.777,45.6063499450684
Belarus,2022,-4.65839591328999,15.2096752740809,3.574,74.1033658536585,77.0977334087936
Belize,2022,9.25051329530994,6.27689319447543,8.682,72.19,23.9767727412258
Brazil,2022,3.01669435408112,9.28010608956872,9.231,74.872,61.0000915527344
Brunei Darussalam,2022,-1.62833154515108,3.68225030604215,5.191,72.917,31.1925368707703
Bhutan,2022,5.21386783786224,5.6391667139637,5.947,72.754,14.5780698560857
Botswana,2022,5.48601706446772,11.665567478802,23.615,68.749,20.7095613715302
Canada,2022,4.18903628100851,6.80280115341612,5.279,81.0948780487805,78.8488311767578
Switzerland,2022,3.04406102969423,2.83502798644451,4.122,83.6048780487805,74.1526794433594
Chile,2022,2.15399356192458,11.6438667110559,8.249,79.176,99.3372802734375
China,2022,3.1341888719577,1.9735755573905,4.98,78.202,71.5799465086024
Cote d'Ivoire,2022,6.39988362720531,5.23352856100842,2.31,61.562,11.1134926507622
Cameroon,2022,3.7367840056412,6.24767713343861,3.646,62.443,16.4371527754335
Colombia,2022,7.32827729427979,10.1772313546166,10.541,76.508,59.2901382446289
Cyprus,2022,8.27372597293814,8.39548297993334,6.806,80.434,105.384979248047
Czechia,2022,2.8471706583814,15.100165146837,2.224,78.9292682926829,70.8145904541016
Germany,2022,1.8092581243061,6.87257438551096,3.137,80.6080487804878,77.3656997680664
Denmark,2022,0.443832614908331,7.69656699889259,4.434,81.3048780487805,84.5866088867188
Dominican Republic,2022,5.23795652902595,8.81109209279587,5.504,74.211,55.1665311527454
Algeria,2022,3.60000000094915,9.26551551551552,12.382,76.129,53.3875786756
Ecuador,2022,5.86842354862311,3.46616972213076,3.713,76.577,59.879782344866
"Egypt, Arab Rep.",2022,6.58784560886967,13.8956609775177,6.546,71.01,36.462230682373
Spain,2022,6.37031712129601,8.39057634118626,13.033,83.1341463414634,95.0271606445312
Estonia,2022,-1.22616966587796,19.3982634080616,5.571,77.8439024390244,71.4251937866211
Finland,2022,0.763041912763526,7.12350773301402,6.719,81.1878048780488,104.944221496582
Fiji,2022,17.7451269773594,6.07882431529724,5.403,67.148,68.7794855157684
France,2022,2.71676264185913,5.22236748369725,7.303,82.1292682926829,71.5107269287109
United Kingdom,2022,5.14970388522993,7.92204883147902,3.768,81.0112195121951,79.7695083618164
Georgia,2022,10.9585321385624,11.8981654203198,11.621,74.141,79.3253367493498
Ghana,2022,3.80484980952164,31.2558951049016,2.87,65.246,20.44559258931
Greece,2022,5.52198580589408,9.64525981280642,12.426,80.7878048780488,166.389556884766
"Hong Kong SAR, China",2022,-3.68378414495199,1.88136707196853,4.318,83.6609756097561,100.776315789474
Croatia,2022,7.29445343642668,10.7805806758686,6.811,77.5756097560976,80.7626724243164
Hungary,2022,4.15238057779229,14.6081439492433,3.583,75.8682926829268,60.2746810913086
Indonesia,2022,5.30719722664799,4.20946463714784,3.462,70.925,42.3260385456152
India,2022,7.60936497768895,6.69903414079852,4.822,71.698,32.6703053423023
Ireland,2022,7.51113888415304,7.82945736434105,4.465,82.509756097561,77.5933380126953
"Iran, Islamic Rep.",2022,4.35281087521344,43.4884641742179,9.085,76.799,58.6838607788086
Iceland,2022,8.82069395623492,8.3087551155892,3.789,82.119512195122,84.985237121582
Israel,2022,6.26326343841286,4.41162725488371,3.695,82.7,58.9500617980957
Italy,2022,4.82117669913565,8.20128991161718,8.069,82.7,73.8962097167969
Jordan,2022,2.64743514912058,4.22915568897117,18.2,77.088,32.5119829829151
Japan,2022,0.941998775483285,2.49770278172255,2.614,83.9963414634146,63.3752288818359
Kazakhstan,2022,3.19999999970734,15.0278644440851,4.86,73.503,57.2459264222925
Kyrgyz Republic,2022,8.96750520041391,13.9229093174176,4.767,72.0487804878049,54.2184527097527
Cambodia,2022,5.12990110773977,5.34370264895437,0.245,70.528,14.6069513022825
"Korea, Rep.",2022,2.72756456708991,5.08951365062842,2.857,82.6804878048781,102.813056945801
Lao PDR,2022,2.70742652643155,22.9562225132056,1.209,68.715,13.677811550152
Lebanon,2022,-0.621678970663112,171.205491336641,11.105,78.003,58.1761149059991
St. Lucia,2022,20.3884431828414,6.37814695133351,15.934,72.67,16.1808795928955
Sri Lanka,2022,-7.34919301306745,49.7211021114327,4.528,77.3,22.3679922774735
Lithuania,2022,2.53752574011534,19.7050461518394,5.955,75.6439024390244,76.9154586791992
Luxembourg,2022,-1.0974168968152,6.33600807777919,4.588,82.9463414634147,21.032600402832
Latvia,2022,1.90853419029801,17.3102830198815,6.815,74.2780487804878,91.3303680419922
"Macao SAR, China",2022,-18.956941494497,1.04502802369954,2.446,83.0804878048781,116.232189973615
Morocco,2022,1.81269242194809,6.65704202759067,9.413,75.161,45.9400219155138
Moldova,2022,-4.6000000255323,28.7372976766235,0.909,71.546,68.0572346521372
Madagascar,2022,4.15609778386296,8.16059031991844,3.186,63.068,5.87562673022926
Maldives,2022,13.8260895184139,2.33314337624567,4.303,80.76,48.4968654322788
Mexico,2022,3.70975709163623,7.8962761916855,3.256,73.973,46.4061317443848
North Macedonia,2022,2.75888415332967,14.2047173195833,14.476,74.4248780487805,53.1601181030273
Malta,2022,2.48309993837792,6.15375621933037,3.471,82.2975609756098,74.5901336669922
Montenegro,2022,7.73954689516201,13.0403036347004,14.851,76.1878048780488,57.4317893981934
Mongolia,2022,5.0327096366527,15.1509728200805,5.954,71.9007317073171,67.6998728025335
Mauritius,2022,8.69306675264066,10.7737512242899,6.322,73.5146341463415,44.2026816403629
Malawi,2022,0.921115069005936,20.953969729969,5.02,66.037,2.70813684546823
Malaysia,2022,9.03173723044451,3.37869862549928,3.93,75.444,36.9853099297291
Namibia,2022,5.3987247803654,6.08128114112413,19.615,64.19,26.1092654658031
Norway,2022,3.24622860260932,5.76412317852272,3.231,82.509756097561,97.6419830322266
Nepal,2022,5.6313145568451,7.6702057938028,10.661,70.087,14.8435874359729
New Zealand,2022,3.49638686458842,7.17222476016441,3.299,81.9585365853658,77.0104675292969
Pakistan,2022,4.7781068690358,19.8738599646655,5.291,67.417,10.5057175294292
Panama,2022,11.0385475261766,2.85965128834711,8.086,79.324,57.8162831217614
Philippines,2022,7.58098212785563,5.82115811213955,2.598,69.472,38.4011392706768
Poland,2022,5.25545697386036,14.4294507575758,2.811,77.1560975609756,75.2911071777344
Portugal,2022,6.98584137580278,7.83269124233323,6.138,81.6317073170732,75.0714797973633
West Bank and Gaza,2022,4.08276027347105,3.74122391852077,24.42,76.662,45.7982801281791
Qatar,2022,4.18497018544697,4.99527553740761,0.13,81.857,35.0854901088778
Romania,2022,4.18771305104109,13.7954887432521,5.614,75.1536585365854,58.2390403747559
Russian Federation,2022,-1.43588213859842,13.7436797398232,3.867,72.5456097560976,53.9151941239211
Rwanda,2022,8.16120720872912,17.6892095588153,15.084,67.528,7.41325884733851
Saudi Arabia,2022,12.0005874752929,2.47407371925372,5.589,77.31,73.7492065429688
Senegal,2022,3.85043193735768,9.69681899081073,2.837,67.788,15.6478973478986
Singapore,2022,4.10800021897151,6.13095418919732,3.591,82.8951219512195,98.02222650098
El Salvador,2022,2.95461516549889,7.19861615609867,2.999,71.969,31.4538910186841
Serbia,2022,2.70347705543654,11.9815117344703,8.439,75.2365853658537,69.8046798706055
Suriname,2022,2.40622235601218,52.446027276241,7.973,73.254,5.02487384130847
Slovak Republic,2022,0.544591632137454,12.7741463637611,6.143,76.9658536585366,52.4959106445312
Slovenia,2022,2.66850555542486,8.83369886749452,4.011,81.2829268292683,82.3922576904297
Sweden,2022,1.25543620445816,8.36929098869189,7.417,83.0585365853659,83.8976135253906
Thailand,2022,2.58037874709827,-1.61068030486688,0.94,75.291,43.29484965617
Tunisia,2022,2.75228761004381,8.30646124447623,15.3,76.05,37.1276893615723
Turkiye,2022,5.44122511322401,72.3088359891207,10.465,77.591,127.577972412109
Tanzania,2022,4.56600576430955,4.35027204269101,1.573,66.879,5.32159018874409
Uruguay,2022,4.48622703072073,9.10437983075437,7.877,76.468,76.3977408357972
United States,2022,2.51237531986017,8.00279982052121,3.65,77.4341463414634,79.361930847168
Uzbekistan,2022,6.00134232203442,11.4466436998836,4.456,72.147,31.701936179599
St. Vincent and the Grenadines,2022,3.1108330034352,5.66009779226552,19.277,71.191,41.4983277591973
Viet Nam,2022,8.53750046755788,3.15650749963129,1.57,74.502,44.7536854027422
Samoa,2022,2.26705055249026,10.9618822286844,5.048,71.55,18.5508413272527
South Africa,2022,2.05813661692193,7.03987272546482,33.268,65.454,23.7271036201865
Angola,2023,1.26330814020108,13.6441017767714,14.051,64.617,10.04935810264
Albania,2023,4.01541716935742,4.75834555150038,10.669,79.602,64.7293520237257
United Arab Emirates,2023,4.30118228020602,1.62670837213248,2.151,82.909,61.3456114422447
Argentina,2023,-1.85578803046339,133.488935594175,6.139,77.395,107.822574129434
Armenia,2023,8.29999999959539,1.98041877615553,12.405,77.4658536585366,56.2770051010456
